web-scraper-order,web-scraper-start-url,links,links-href,Title,Votes,Note,Metascore,Genre
1678279573-547,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",24H Limit,https://www.imdb.com/title/tt5442456/?ref_=adv_li_tt,24H Limit,15000,"5,8",37.0,Action
1678280357-695,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=251&ref_=adv_nxt",Arjun Reddy,https://www.imdb.com/title/tt7294534/?ref_=adv_li_tt,Arjun Reddy,26000,"8,0",,Action
1678281341-735,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=701&ref_=adv_nxt",La balade de Lefty Brown,https://www.imdb.com/title/tt4400994/?ref_=adv_li_tt,La balade de Lefty Brown,7000,"6,3",64.0,Action
1678279617-555,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Theeran Adhigaram Ondru,https://www.imdb.com/title/tt7060460/?ref_=adv_li_tt,Theeran Adhigaram Ondru,16000,"8,2",,Action
1678273079-196,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=201&ref_=adv_nxt",Secret Superstar,https://www.imdb.com/title/tt6108090/?ref_=adv_li_tt,Secret Superstar,27000,"7,8",,Drame
1678279717-575,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Along With the Gods: The Two Worlds,https://www.imdb.com/title/tt7160070/?ref_=adv_li_tt,Along With the Gods: The Two Worlds,17000,"7,2",,Action
1678274549-419,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",Kong: Skull Island,https://www.imdb.com/title/tt3731562/?ref_=adv_li_tt,Kong: Skull Island,326000,"6,6",62.0,Action
1678273416-248,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=151&ref_=adv_nxt",Metalhead,https://www.imdb.com/title/tt5710984/?ref_=adv_li_tt,Metalhead,37000,"6,6",,Drame
1678274295-378,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",Taboo,https://www.imdb.com/title/tt3647998/?ref_=adv_li_tt,Taboo,141000,"8,3",,Drame
1678279159-484,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=451&ref_=adv_nxt",L'Amant double,https://www.imdb.com/title/tt6367558/?ref_=adv_li_tt,L'Amant double,13000,"6,2",70.0,Drame
1678279623-556,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Shimmer Lake,https://www.imdb.com/title/tt1386691/?ref_=adv_li_tt,Shimmer Lake,16000,"6,3",,Action
1678273724-293,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=101&ref_=adv_nxt",Hang the DJ,https://www.imdb.com/title/tt5710978/?ref_=adv_li_tt,Hang the DJ,53000,"8,7",,Drame
1678274440-401,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",Mother,https://www.imdb.com/title/tt5109784/?ref_=adv_li_tt,Mother,232000,"6,6",75.0,Drame
1678279602-552,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Overdrive,https://www.imdb.com/title/tt1935194/?ref_=adv_li_tt,Overdrive,15000,"5,3",,Action
1678282567-879,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=551&ref_=adv_nxt",The Big Scary U,https://www.imdb.com/title/tt6198668/?ref_=adv_li_tt,The Big Scary U,92000,"7,2",,Drame
1678280011-634,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=301&ref_=adv_nxt",Fullmetal Alchemist,https://www.imdb.com/title/tt5607028/?ref_=adv_li_tt,Fullmetal Alchemist,21000,"5,3",48.0,Action
1678281778-796,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=651&ref_=adv_nxt",The Great Father,https://www.imdb.com/title/tt5996836/?ref_=adv_li_tt,The Great Father,78000,"6,9",,Action
1678273301-234,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=201&ref_=adv_nxt",The Chosen,https://www.imdb.com/title/tt9471404/?ref_=adv_li_tt,The Chosen,34000,"9,3",,Drame
1678279950-621,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=301&ref_=adv_nxt",Chapter Six: The Spy,https://www.imdb.com/title/tt6020808/?ref_=adv_li_tt,Chapter Six: The Spy,20000,"9,1",,Drame
1678279664-564,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=351&ref_=adv_nxt",Happy End,https://www.imdb.com/title/tt5304464/?ref_=adv_li_tt,Happy End,16000,"6,6",72.0,Drame
1678279960-623,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=301&ref_=adv_nxt",L.A. Rush,https://www.imdb.com/title/tt4694544/?ref_=adv_li_tt,L.A. Rush,20000,"5,3",28.0,Action
1678282586-881,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=551&ref_=adv_nxt",Efectuar lo acordado,https://www.imdb.com/title/tt6807344/?ref_=adv_li_tt,Efectuar lo acordado,92000,"8,1",,Action
1678273347-239,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=151&ref_=adv_nxt",Ghost Stories,https://www.imdb.com/title/tt5516328/?ref_=adv_li_tt,Ghost Stories,35000,"6,4",68.0,Drame
1678274640-435,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/?ref_=adv_li_tt,Spider-Man: Homecoming,669000,"7,4",73.0,Action
1678274177-361,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",The Foreigner,https://www.imdb.com/title/tt1615160/?ref_=adv_li_tt,The Foreigner,117000,"7,0",55.0,Action
1678282325-855,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=601&ref_=adv_nxt","Tape 7, Side A",https://www.imdb.com/title/tt5174280/?ref_=adv_li_tt,"Tape 7, Side A",86000,"9,2",,Drame
1678278907-446,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=451&ref_=adv_nxt",Salyut-7,https://www.imdb.com/title/tt6537238/?ref_=adv_li_tt,Salyut-7,12000,"7,2",,Action
1678279033-459,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=451&ref_=adv_nxt",Café Roma,https://www.imdb.com/title/tt7063210/?ref_=adv_li_tt,Café Roma,12000,"7,0",,Drame
1678274284-377,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",La Tour sombre,https://www.imdb.com/title/tt1648190/?ref_=adv_li_tt,La Tour sombre,141000,"5,6",34.0,Action
1678281605-769,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=651&ref_=adv_nxt",Fortnite,https://www.imdb.com/title/tt8020008/?ref_=adv_li_tt,Fortnite,75000,"5,1",,Action
1678279562-546,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=401&ref_=adv_nxt",Les demoiselles du téléphone,https://www.imdb.com/title/tt5674718/?ref_=adv_li_tt,Les demoiselles du téléphone,15000,"7,5",,Drame
1678273791-303,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=101&ref_=adv_nxt",Sur le chemin de la rédemption,https://www.imdb.com/title/tt6053438/?ref_=adv_li_tt,Sur le chemin de la rédemption,59000,"7,1",85.0,Drame
1678274628-433,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",Star Wars : Épisode VIII - Les Derniers Jedi,https://www.imdb.com/title/tt2527336/?ref_=adv_li_tt,Star Wars : Épisode VIII - Les Derniers Jedi,641000,"6,9",84.0,Action
1678279963-624,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=301&ref_=adv_nxt",Chapter One: MADMAX,https://www.imdb.com/title/tt6020684/?ref_=adv_li_tt,Chapter One: MADMAX,20000,"8,1",,Drame
1678283055-959,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=501&ref_=adv_nxt",Judwaa 2,https://www.imdb.com/title/tt5456546/?ref_=adv_li_tt,Judwaa 2,11000,"3,6",,Action
1678273937-329,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=101&ref_=adv_nxt",La Montagne entre nous,https://www.imdb.com/title/tt2226597/?ref_=adv_li_tt,La Montagne entre nous,77000,"6,4",48.0,Drame
1678274149-357,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt",Geostorm,https://www.imdb.com/title/tt1981128/?ref_=adv_li_tt,Geostorm,111000,"5,3",21.0,Action
1678273482-258,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=151&ref_=adv_nxt","Everything, Everything",https://www.imdb.com/title/tt5001718/?ref_=adv_li_tt,"Everything, Everything",40000,"6,3",52.0,Drame
1678273442-252,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=151&ref_=adv_nxt",Time Trap,https://www.imdb.com/title/tt4815122/?ref_=adv_li_tt,Time Trap,38000,"6,2",46.0,Action
1678282494-873,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=551&ref_=adv_nxt",Whisky Bandit,https://www.imdb.com/title/tt5871080/?ref_=adv_li_tt,Whisky Bandit,89000,"7,3",,Action
1678282726-907,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=551&ref_=adv_nxt",The Hero,https://www.imdb.com/title/tt5655222/?ref_=adv_li_tt,The Hero,10000,"6,5",61.0,Drame
1678274482-408,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",La Planète des singes : Suprématie,https://www.imdb.com/title/tt3450958/?ref_=adv_li_tt,La Planète des singes : Suprématie,263000,"7,4",82.0,Action
1678273241-225,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=201&ref_=adv_nxt",Désobéissance,https://www.imdb.com/title/tt6108178/?ref_=adv_li_tt,Désobéissance,33000,"6,6",74.0,Drame
1678273804-305,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=101&ref_=adv_nxt",Jungle,https://www.imdb.com/title/tt3758172/?ref_=adv_li_tt,Jungle,59000,"6,7",48.0,Action
